"transactionid","operationid","transactiontype","senderid","recipientid","tokenamount","transferaction","message","createdat","transactioncategory"
"31c48d48-3d36-41fc-8c92-c583649247b3","25531a32-6a5b-48ed-8ac8-a84fa2f58262","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","0.0600000000","BURN_FEE",NULL,"2025-09-02 13:16:51.483023","FEE"
"30635564-ed15-4535-b117-4ea30737cc28","25531a32-6a5b-48ed-8ac8-a84fa2f58262","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.1200000000","PEER_FEE",NULL,"2025-09-02 13:16:51.473706","FEE"
"43afe164-580c-468d-ae9b-652169f95f7e","25531a32-6a5b-48ed-8ac8-a84fa2f58262","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.0600000000","INVITER_FEE",NULL,"2025-09-02 13:16:51.455562","FEE"
"010cae78-89f3-4801-9abb-5b0947e4c1fc","25531a32-6a5b-48ed-8ac8-a84fa2f58262","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","161e593d-bc0d-4ee5-9712-91727518b535","6.0600000000","CREDIT","Alpha Token Migration","2025-09-02 13:16:51.445878","P2P_TRANSFER"
"ef4eaee7-32b9-4c12-b5a8-535b1d39d607","8bcd3c98-e539-4a67-89a5-c97fe61827f8","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","0.2000000000","BURN_FEE",NULL,"2025-09-02 13:16:51.424926","FEE"
"47c51179-309f-46b9-a263-3d2ca1ba2ad8","8bcd3c98-e539-4a67-89a5-c97fe61827f8","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.4000000000","PEER_FEE",NULL,"2025-09-02 13:16:51.416226","FEE"
"e58ef3a8-33bd-4d20-9e05-d881a75d8043","8bcd3c98-e539-4a67-89a5-c97fe61827f8","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.2000000000","INVITER_FEE",NULL,"2025-09-02 13:16:51.398475","FEE"
"f3c343dd-a671-4cbd-a136-1f5803b27040","8bcd3c98-e539-4a67-89a5-c97fe61827f8","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","76c56ddf-2c01-44e1-9fb4-881441b34ebf","20.2000000000","CREDIT","Alpha Token Migration","2025-09-02 13:16:51.389557","P2P_TRANSFER"
"1f5c3ad4-c839-4b7d-9540-c02fffa9f445","1f37e420-c315-4f84-8ae8-576bc711b9d5","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","0.4500000000","BURN_FEE",NULL,"2025-09-02 13:16:51.370457","FEE"
"c43940fe-f658-4d35-b6ca-e67075e59639","1f37e420-c315-4f84-8ae8-576bc711b9d5","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.9000000000","PEER_FEE",NULL,"2025-09-02 13:16:51.361831","FEE"
"0b71c99d-4dfc-4775-953a-25f633578741","1f37e420-c315-4f84-8ae8-576bc711b9d5","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.4500000000","INVITER_FEE",NULL,"2025-09-02 13:16:51.345233","FEE"
"2cf1002d-b247-4496-a824-9359bebb7fbd","1f37e420-c315-4f84-8ae8-576bc711b9d5","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","00d438f5-997d-4656-9209-0660e02f1b78","45.4500000000","CREDIT","Alpha Token Migration","2025-09-02 13:16:51.336233","P2P_TRANSFER"
"af689418-a065-492c-a5ad-d2f0dc63ed95","d68109da-e514-4d1a-847e-66489c8c27f3","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","0.5200000000","BURN_FEE",NULL,"2025-09-02 13:16:51.314944","FEE"
"a4ed8eb9-3112-4274-8888-3271196e83b1","d68109da-e514-4d1a-847e-66489c8c27f3","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","1.0400000000","PEER_FEE",NULL,"2025-09-02 13:16:51.306393","FEE"
"468f5d62-5442-4b1d-a72c-756da7afa262","d68109da-e514-4d1a-847e-66489c8c27f3","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.5200000000","INVITER_FEE",NULL,"2025-09-02 13:16:51.289996","FEE"
"dfb1c4ca-5a35-410d-8925-2024acd6c3ad","d68109da-e514-4d1a-847e-66489c8c27f3","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","be282f57-884c-4a9e-86d7-6e6f8f9a5c46","52.5200000000","CREDIT","Alpha Token Migration","2025-09-02 13:16:51.280954","P2P_TRANSFER"
"a235b8be-ea68-454f-9345-98a7150a0faf","32858498-cecf-4dfc-ace5-c012a36450eb","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","0.5200000000","BURN_FEE",NULL,"2025-09-02 13:16:51.26194","FEE"
"03cc97da-29c9-4072-89ba-45a795fae461","32858498-cecf-4dfc-ace5-c012a36450eb","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","1.0400000000","PEER_FEE",NULL,"2025-09-02 13:16:51.253238","FEE"
"f1e072fc-0736-4487-9c1c-db143698b84d","32858498-cecf-4dfc-ace5-c012a36450eb","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","0.5200000000","INVITER_FEE",NULL,"2025-09-02 13:16:51.235963","FEE"
"175e8157-7187-4d20-9007-c00d775b0dc9","32858498-cecf-4dfc-ace5-c012a36450eb","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","123e2404-2e78-4f05-89a0-8e1fe15b845d","52.5200000000","CREDIT","Alpha Token Migration","2025-09-02 13:16:51.228007","P2P_TRANSFER"
"9b4d7dce-f30e-4614-a690-8790f3e10d70","66b06642-7ada-48c4-9273-bf4d24bbc274","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","1.3400000000","BURN_FEE",NULL,"2025-09-02 13:16:51.208813","FEE"
"13d56db5-7bdb-47e3-bcde-80f0f321d051","66b06642-7ada-48c4-9273-bf4d24bbc274","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","2.6800000000","PEER_FEE",NULL,"2025-09-02 13:16:51.200185","FEE"
"791160d0-6ec8-4807-a02c-932b0291475c","66b06642-7ada-48c4-9273-bf4d24bbc274","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","1.3400000000","INVITER_FEE",NULL,"2025-09-02 13:16:51.181265","FEE"
"a57fe466-999c-445a-a334-2b1f8b6a2ff1","66b06642-7ada-48c4-9273-bf4d24bbc274","transferSenderToRecipient","2736677b-57b8-4ee2-87fe-24ed975e55a6","12da7376-dbcd-4473-abd5-efe3f8664d16","135.3400000000","CREDIT","Alpha Token Migration","2025-09-02 13:16:51.168835","P2P_TRANSFER"
"ed9eab4b-e308-4339-9ead-f388836347e7","407fbef3-c7df-45e0-b575-ef8c3fc5cc21","transferSenderToBurnWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","7e0b2d21-d2b0-4af5-8b73-5f8efc04b000","1.6200000000","BURN_FEE",NULL,"2025-09-02 13:16:51.149234","FEE"
"8a639ddd-01a2-403c-b434-63abd3b4bb6d","407fbef3-c7df-45e0-b575-ef8c3fc5cc21","transferSenderToPeerWallet","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","3.2400000000","PEER_FEE",NULL,"2025-09-02 13:16:51.139781","FEE"
"5431d0a8-ac04-4108-a8e5-3bd31f050c5a","407fbef3-c7df-45e0-b575-ef8c3fc5cc21","transferSenderToInviter","2736677b-57b8-4ee2-87fe-24ed975e55a6","85d5f836-b1f5-4c4e-9381-1b058e13df93","1.6200000000","INVITER_FEE",NULL,"2025-09-02 13:16:51.119942","FEE"
